Fold,Task,N,MAE,RMSE,R²,r,p-value,Epoch,Val_Loss
2,Total_Facial_scale,35,2.2517466494015284,2.4165979551067567,0.016476253253734696,0.14605175452530667,0.40249340777847326,1,2.484468698501587
3,Orbital_tightening,35,0.48387122111661096,0.5784783986880719,-0.10792061138916065,0.2537894858752897,0.14125884051045418,29,1.3766827583312988
3,Tension_above_eyes,35,0.2770405207361494,0.3524730845020049,-0.6306141775458285,0.22651250772826168,0.19070984252792447,29,1.3766827583312988
3,Cheek_tightening,35,0.3031059761132513,0.3924449702789017,-0.31220549994620916,0.07467855285899269,0.6698489241070495,29,1.3766827583312988
3,Ears_frontal,35,0.35599598001156535,0.43875814727047574,-0.632621943188248,0.022274568415869524,0.8989341586919835,29,1.3766827583312988
3,Ears_lateral,35,0.5418471340622221,0.6061508192154608,-0.23274261788718897,0.10075329874625738,0.5646924171411108,29,1.3766827583312988
3,Lip_jaw_profile,35,0.46603384699140277,0.5479882399866525,-0.5214657152068296,-0.21490443686743763,0.21506218010160444,29,1.3766827583312988
3,Nostril_muzzle,35,0.36080097683838436,0.4241672224284966,-0.3366537105492664,0.03976275174665191,0.8205902436607302,29,1.3766827583312988
3,Total_Facial_scale,35,2.4674407533236913,2.8312666551980414,-0.35001188291708507,0.081165592746343,0.6429993863995953,29,1.3766827583312988
4,Orbital_tightening,35,0.41841633490153723,0.4777668107988944,0.2442706247871258,0.5624850025009371,0.00043642846502021547,17,1.928077220916748
4,Tension_above_eyes,35,0.3212141641548702,0.3984420917657958,-1.0836737413175772,0.22078923907819217,0.202462550472807,17,1.928077220916748
4,Cheek_tightening,35,0.2721070542931557,0.333269150853356,0.0536875609126789,0.3605973426110343,0.03333486751596977,17,1.928077220916748
4,Ears_frontal,35,0.21326350340885775,0.2869476406759094,0.30170238620028966,0.6280864337805796,5.357391099615381e-05,17,1.928077220916748
4,Ears_lateral,35,0.4729338973760605,0.5529142005349524,-0.025714525592885673,0.37432483185478527,0.026736085224361328,17,1.928077220916748
4,Lip_jaw_profile,35,0.4320414253643581,0.4979507054742453,-0.2562972161852106,0.10495033313414218,0.5485021539134759,17,1.928077220916748
4,Nostril_muzzle,35,0.3541534411055701,0.40677670590242837,-0.2292970737037523,0.07779325883976211,0.6569045059711339,17,1.928077220916748
4,Total_Facial_scale,35,2.120540085860661,2.392007716997667,0.03639022751022225,0.4177237283537493,0.01252926013426325,17,1.928077220916748
5,Orbital_tightening,35,0.48029842717306953,0.5750675431127555,-0.09489396646287518,0.3787436470942798,0.02485652670061545,4,3.3904213905334473
5,Tension_above_eyes,35,0.31856623462268285,0.36511810318417603,-0.7497098190238674,-0.14966019336042563,0.3908406052998024,4,3.3904213905334473
5,Cheek_tightening,35,0.2797310045787266,0.34614403878866373,-0.020840830933289478,0.08089535186413456,0.6441093626022337,4,3.3904213905334473
5,Ears_frontal,35,0.304356803212847,0.35969756538502196,-0.09726174466016424,0.2552832505697711,0.13885286295115448,4,3.3904213905334473
5,Ears_lateral,35,0.534599574974605,0.5916396506701775,-0.17442574104053765,0.2408484748419284,0.16339418434884848,4,3.3904213905334473
5,Lip_jaw_profile,35,0.3792137341839927,0.45609637131230435,-0.05398135313389618,-0.0808287781357675,0.6443829211363609,4,3.3904213905334473
5,Nostril_muzzle,35,0.3976912992341178,0.45234930170138155,-0.5201713598738575,0.10240708974285337,0.5582867225235273,4,3.3904213905334473
5,Total_Facial_scale,35,2.458410475935255,2.596787755628449,-0.13566162887955757,0.27169072942382294,0.11437454776143095,4,3.3904213905334473
6,Orbital_tightening,35,0.479558915751321,0.5391865905708433,0.03747389944229351,0.27149170208048756,0.1146506195021172,6,2.8950886726379395
6,Tension_above_eyes,35,0.23664242625236512,0.2945630711247425,-0.13882212025009522,0.3590286464032824,0.03416689020509039,6,2.8950886726379395
6,Cheek_tightening,35,0.30231550335884094,0.36584972352692935,-0.14038049699005772,0.17865467825658848,0.304495376496395,6,2.8950886726379395
6,Ears_frontal,35,0.31090847253799436,0.3893008120042772,-0.28530400438503456,-0.07712440808646336,0.6596760786369851,6,2.8950886726379395
6,Ears_lateral,35,0.5097706913948059,0.5670258124213021,-0.07873973623016828,0.13079426786551213,0.4539093666737638,6,2.8950886726379395
6,Lip_jaw_profile,35,0.47091788394110545,0.5109954376707556,-0.32298140086047455,0.08376265660124142,0.6323713319916846,6,2.8950886726379395
6,Nostril_muzzle,35,0.38602866104670935,0.4418749346594216,-0.4505858325814567,-0.04946432617250608,0.7778055761263577,6,2.8950886726379395
6,Total_Facial_scale,35,2.447735617841993,2.621357821891502,-0.15725391177976134,0.16459999700066713,0.34471622020655146,6,2.8950886726379395
7,Orbital_tightening,35,0.42223212378365654,0.5062592426328804,0.15144444785644928,0.39576815232563,0.01860448195238463,17,0.868474006652832
7,Tension_above_eyes,35,0.30492831979479107,0.37997822925207203,-0.8950327724147411,-0.23634894145599264,0.17164543041804783,17,0.868474006652832
7,Cheek_tightening,35,0.26638006791472435,0.3717266411425545,-0.1773123342466396,0.18110848267910667,0.29779144499983495,17,0.868474006652832
7,Ears_frontal,35,0.2768488613622529,0.36723790215640895,-0.14374770884935284,0.27418782455624396,0.11095308115296276,17,0.868474006652832
7,Ears_lateral,35,0.4766601698739188,0.5548247306962223,-0.03281524473231201,0.3347962441360417,0.049310525801849046,17,0.868474006652832
7,Lip_jaw_profile,35,0.39602724228586467,0.46201310979636545,-0.08150440191603647,0.1211542954729154,0.488128704460497,17,0.868474006652832
7,Nostril_muzzle,35,0.39946058988571165,0.45785204799981155,-0.5573815306465224,-0.007877463883932347,0.9641776049042716,17,0.868474006652832
7,Total_Facial_scale,35,1.9118850895336696,2.3234796474447807,0.09081180499142372,0.3608262347839441,0.03321485886574057,17,0.868474006652832
8,Orbital_tightening,35,0.5361590283257621,0.5770885849337598,-0.1026033736380485,0.1258012195780979,0.47146999957475266,1,1.2666380405426025
8,Tension_above_eyes,35,0.19504993898527964,0.273977542288189,0.014789057174591003,0.38763377353788664,0.021404725137917368,1,1.2666380405426025
8,Cheek_tightening,35,0.298830041715077,0.3811612965030255,-0.2378325821812175,-0.08434414085812224,0.6300014969730078,1,1.2666380405426025
8,Ears_frontal,35,0.3231600901910237,0.4041554685913601,-0.3852627643231894,-0.24654467775698846,0.15336254787891368,1,1.2666380405426025
8,Ears_lateral,35,0.5194214650562832,0.5540860562393906,-0.030066966442202858,-0.15451605535146573,0.37547201636432326,1,1.2666380405426025
8,Lip_jaw_profile,35,0.3691959364073617,0.46187253659844585,-0.08084637987928334,-0.2128841858434308,0.2195092282679374,1,1.2666380405426025
8,Nostril_muzzle,35,0.2955851640020098,0.35150754069788276,0.08206064477535491,0.6533451585041122,2.090173587076806e-05,1,1.2666380405426025
8,Total_Facial_scale,35,2.049757489136287,2.522790756831033,-0.07186108862115925,0.08909520041038216,0.6107761919064101,1,1.2666380405426025
